TractID,Lat,Long,Total_2018Pop,SeriesInt,SeriesComp,parish,pfips,ldhh,FID,x,y
22033002300,30.432878,-91.159042,2444,1623,1523,East Baton Rouge,22033,2,808,-10147778.136642639,3559314.5157301035
22033002400,30.425745,-91.190491,2468,822,745,East Baton Rouge,22033,2,809,-10151279.023308596,3558393.625477489
22033002500,30.425821,-91.174561,2825,1024,928,East Baton Rouge,22033,2,810,-10149505.703820258,3558403.436935172
22033002601,30.416761,-91.156532,4301,2318,2148,East Baton Rouge,22033,2,811,-10147498.724720748,3557233.8617477925
22033002602,30.402653,-91.130836,4444,2110,1948,East Baton Rouge,22033,2,812,-10144638.259085324,3555412.845362288
22033002700,30.425882,-91.144981,1726,700,640,East Baton Rouge,22033,2,813,-10146212.873282595,3558411.3119264743
22033002801,30.41287,-91.18988,2470,357,325,East Baton Rouge,22033,2,814,-10151211.007099722,3556731.597389588
22033002802,30.412266,-91.17083,3836,461,430,East Baton Rouge,22033,2,815,-10149090.37080011,3556653.632679529
22033003000,30.521088,-91.216515,4516,795,718,East Baton Rouge,22033,2,816,-10154176.001737,3570708.247632969
22033003101,30.5334,-91.178467,4096,1062,950,East Baton Rouge,22033,2,817,-10149940.517751297,3572299.3610510835
22033003103,30.534283,-91.15992,1277,256,232,East Baton Rouge,22033,2,818,-10147875.875155555,3572413.4813042847
22033003201,30.5403,-91.126099,4481,1428,1307,East Baton Rouge,22033,2,819,-10144110.938657437,3573191.155091405
22033003202,30.569815,-91.111435,3526,1660,1563,East Baton Rouge,22033,2,820,-10142478.549644444,3577006.55191481
22033003300,30.515873,-91.163979,4885,1629,1478,East Baton Rouge,22033,2,821,-10148327.720968684,3570034.359700659
22033003400,30.515333,-91.134949,7019,2300,2087,East Baton Rouge,22033,2,822,-10145096.116150957,3569964.582383139
22033003501,30.509468,-91.087418,3043,1016,915,East Baton Rouge,22033,2,823,-10139804.989434062,3569206.7481494066
22033003504,30.508047,-91.110847,5859,2307,2111,East Baton Rouge,22033,2,824,-10142413.093783857,3569023.143358822
22033003505,30.491964,-91.106689,4001,1338,1196,East Baton Rouge,22033,2,825,-10141950.22734114,3566945.275566253
